id,answer,answer_value,answer_unit,supporting_materials,explanation,ref_id,ref_url
q013,"13,000 tons",13000,tons,"The total permitted annual emission limits for these diesel generators are approximately 13,000 tons of NOx, 1,400 tons of VOCs, 50 tons of SO2, and 600 tons of PM2.5, all in U.S. short tons.","The document states the total permitted annual emission limits for data center diesel generators in Northern Virginia, including permits issued since January 1, 2023, are approximately 13,000 tons of NOx.",['han2024'],['https://arxiv.org/pdf/2412.06288']
q014,90%,90,percent,"we show that our model, namely FLM-101B, trained with our growth strategy under a budget of $100K, reaches 80% of the baselines' performances with only 10% of their floating-point operations.","The FLM-101B model, trained with a growth strategy, used only 10% of the floating-point operations (computational cost) compared to baselines (from-scratch approach). This implies a 90% saving in computational cost, and by extension, training time.","['li2025a', 'amazon2023']","['https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf', 'https://arxiv.org/pdf/2309.03852']"
q015,Unable to answer with confidence based on the provided documents.,is_blank,deaths,is_blank,"The provided documents discuss the public health impact and costs associated with U.S. data centers and air pollutants, including premature mortality from various sources. However, they do not explicitly state a projected number of premature deaths in 2030 caused specifically by scope-2 pollutants from U.S. data centers alone. The texts mention a general increase in public health costs for U.S. data centers by 2028 and describe methods for calculating health impacts, but they do not provide the exact numerical answer for premature deaths in 2030.",['han2024'],['https://arxiv.org/pdf/2412.06288']
q016,Unable to answer with confidence based on the provided documents.,is_blank,days,"The largest training runs (e.g., 6 billion parameter LM) releases a significant amount of emissions, no matter the region (and recall the 6 billion parameter LM is only trained for 13% of a full run, so a full run would emit about an order of magnitude more emissions than reported here).","The document states that the 6 billion parameter model was 'only trained for 13% of a full run'. However, the duration of this 13% partial run is not provided in the text. Therefore, the full training run duration cannot be calculated.","['cottier2024', 'wu2021a']","['https://arxiv.org/pdf/2111.00364', 'https://arxiv.org/pdf/2405.21015']"
q017,Command-R Plus,Command-R Plus,is_blank,"Model | Organization | GPU Energy for 1k Queries (Wh) | Task
bert-tiny-finetuned-squadv2 | mrm8488 | 0.06 | Extractive QA
GIST-all-MiniLM-L6-v2 | avsolatorio | 0.11 | Sentence Similarity
dynamic_tinybert | Intel | 0.21 | Extractive QA
distilbert-imdb | lvwerra | 0.22 | Text Classification
question_answering_v2 | Falconsai | 0.23 | Extractive QA
Resnet 18 | Microsoft | 0.30 | Image Classification
yolos-tiny | hustvl | 1.00 | Object Detection
Vision Perceiver Conv | Google | 2.64 | Image Classification
SFR-Embedding-Mistral | Salesforce | 5.22 | Sentence Similarity
yolos-base | hustvl | 7.98 | Object Detection
Gemma 7B | Google | 18.90 | Text Generation	T5 11b | Google | 27.79 | Text Classification
phi-4 | Microsoft | 28.74 | Text Generation	T5 11b | Google | 178.13 | Extractive QA
Mitsua Diffusion One | Mitsua | 186.81 | Image Generation
Mixtral 8x7B | Mistral | 615.39 | Text Generation
Stable Diffusion XL Base | Stability AI | 1,639.85 | Image Generation
Llama 3 70B | Meta | 1,719.66 | Text Generation
Qwen2.5 72B | Qwen | 1,869.55 | Text Generation
Command-R Plus | Cohere | 3,426.38 | Text Generation","According to the table titled ""Model | Organization | GPU Energy for 1k Queries (Wh) | Task"" in the provided document from luccioni2025c, the 'Command-R Plus' model has the highest GPU energy consumption for 1,000 queries, with a value of 3,426.38 Wh.","['zschache2025', 'han2024', 'jegham2025']","['https://arxiv.org/pdf/2505.09598', 'https://arxiv.org/pdf/2412.06288', 'https://arxiv.org/pdf/2508.14170 ']"
q018,2014,2014,year,"The One Hundred Year Study on Artificial Intelligence, launched in the fall of 2014, is a long-term investigation of the field of Artificial Intelligence (AI) and its influences on people, their communities, and society.",Quote,['stone2022'],['https://arxiv.org/pdf/2211.06318']
q019,Unable to answer with confidence based on the provided documents.,is_blank,percent,is_blank,is_blank,"['luccioni2025a', 'amazon2023']","['https://arxiv.org/pdf/2501.16548', 'https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']"
q020,520 MWh,520,MWh,Model | Organization | Energy Consumption (MWh) | GHG Emissions (tCO2e) BLOOM | Big Science | 520 | 30,The table in luccioni2025c directly states the energy consumption for the BLOOM model as 520 MWh.,"['luccioni2024', 'morrison2025']","['https://arxiv.org/pdf/2311.16863', 'https://arxiv.org/pdf/2503.05804']"
q021,0.1%,0.1,percent,The authors show large sparse models—1500B parameters but only 0.1% activated per token—can deliver up to 7x increases in pre-training speed with the same computational resources.,Quote,"['patterson2021', 'shen2024', 'wu2021a']","['https://arxiv.org/pdf/2104.10350', 'https://arxiv.org/pdf/2404.07413', 'https://arxiv.org/pdf/2111.00364']"
q022,8 experts,8,experts,"The hyperparameters of JetMoE-8B are selected based on the common practice for the 1B transformer language model. We replace all self-attention and MLP layers in the transformer with MoA and MoE. Then, we set the same number of experts to 8 and top-k to 2 for every layer. Such that the model has approximately two times the computation compared to a 1B model. Following ST-MoE (Zoph et al., 2022), the weight for load balancing loss and z-loss is set to 0.01 and 0.001, respectively. Table 1 shows the key hyperparameters in JetMoE-8B.","The document explicitly states that for the JetMoE-8B, the 'number of experts' is set to 8 for every layer in the MoE architecture.","['xia2024', 'shen2024']","['https://arxiv.org/pdf/2408.04693', 'https://arxiv.org/pdf/2404.07413']"
q023,Unable to answer with confidence based on the provided documents.,is_blank,second,is_blank,"The provided documents discuss execution time breakdowns and utilization for various models and GPUs, including BlackMamba on NVIDIA A40. However, they do not explicitly state the total execution time for a dense BlackMamba model with a batch size of 30 on an NVIDIA A40-48 GB GPU.",['xia2024'],['https://arxiv.org/pdf/2408.04693']
q024,28.22 zettaFLOPs,28.22,zettaFLOPs,The data ratio of FLM-101B is 53.5% : 46.5% for English and Chinese. The total cost of FLM-101B is computed as 52.76 zettaFLOPs (28.22 zettaFLOPs for English and 24.54 for Chinese).,Quote,['li2025a'],['https://arxiv.org/pdf/2309.03852']
q025,Unable to answer with confidence based on the provided documents.,is_blank,is_blank,is_blank,"The documents discuss energy-efficient inference for text classification and local inference optimization, but none specifically report on a hardware processor used for *energy-efficient local inference in financial sentiment classification*.","['patterson2021', 'zschache2025']","['https://arxiv.org/pdf/2104.10350', 'https://arxiv.org/pdf/2508.14170 ']"
q026,88 models,88,models,"We study 88 models across 10 tasks and 30 datasets, spanning applications in natural language and computer vision, analyzing the impact of end task, modality, model size, architecture, and learning paradigm (i.e. task-specific or multi-task/multi-purpose) on energy efficiency. We identify orders-of-magnitude differences in the amount of energy required per inference across models, modalities and tasks and shine light on an important trade-off between the benefit of multi-purpose systems, their energy cost, and ensuing carbon emissions.","The 'Power Hungry Processing' paper (Luccioni et al., 2024) explicitly states that their study analyzed 88 machine learning models.","['luccioni2024', 'luccioni2025c', 'jegham2025']","['https://arxiv.org/pdf/2505.09598', 'https://arxiv.org/pdf/2311.16863', 'https://arxiv.org/pdf/2506.15572']"
q027,Unable to answer with confidence based on the provided documents.,is_blank,multiplier,is_blank,is_blank,"['patterson2021', 'morrison2025']","['https://arxiv.org/pdf/2503.05804', 'https://arxiv.org/pdf/2104.10350']"
q028,1.2 to 4 times larger,"[1.2,4]",multiplier,"We estimate that the ratio of total compute to final training run compute ranges from 1.2x to 4x, with a median of 2.2x. Based on this, we sampled the factor from a log-normal distribution with a 90% CI of 1.2x to 4x, meaning that total compute for model development is 1.2x to 4x larger than the final training run.",The text states that 'the ratio of total compute to final training run compute ranges from 1.2x to 4x'.,['cottier2024'],['https://arxiv.org/pdf/2405.21015']
q029,196 MWh,196,MWh,"Table 1: We developed our models in five groups, based on parameter count and architecture: less than 1 billion, 1 billion, 7 billion, and 13 billion parameters...","The table in the supporting material 'morrison2025' provides 'Total MWh' for different model parameter groups. For the '7B' parameter group, which is the closest to a 6.1 billion parameter model, the 'Total MWh' is listed as 196.","['zschache2025', 'morrison2025']","['https://arxiv.org/pdf/2503.05804', 'https://arxiv.org/pdf/2508.14170 ']"
q030,Jevons' Paradox,Jevons' Paradox,is_blank,"Economists refer to such transformations as Jevons’ Paradox, which was proposed in the 19th century by economist William Stanley Jevons, who observed that as coal use became more efficient, it was also paradoxically leading to an increase, and not a decrease, in the consumption of coal across different industries.",The paper 'From Efficiency Gains to Rebound Effects: The Problem of Jevons’ Paradox in AI’s Polarized Environmental Debate' explicitly states that Jevons' Paradox explains how efficiency gains in AI may paradoxically lead to increased consumption and thus not result in net environmental benefits.,['luccioni2025a'],['https://arxiv.org/pdf/2501.16548']
q031,4.2 – 6.6 billion cubic meters,4.2-6.6,billion cubic meters,"More critically, the global AI demand is projected to account for 4.2 – 6.6 billion cubic meters of water withdrawal in 2027, which is more than the total annual water withdrawal of 4 – 6 Denmark or half of the United Kingdom.",Quote,['li2025b'],['https://arxiv.org/pdf/2304.03271']
q032,FALSE,0,is_blank,schwartz2019,"The document states that 'Red AI is on the rise despite the well-known diminishing returns of increased cost', directly contradicting the statement that Red AI is on the decline.",['schwartz2019'],['https://arxiv.org/pdf/1907.10597']
q033,21.92 days,21.92,days,Table 4: Performance of FLM-101B and baselines including Llama series and GLM-130B. We list the estimated floating-point operations (zetta = 10^21) of the training process for reference.; Table 2 (within text): | Params (billion)| Tensor Parallel Size| Pipeline Parallel Size| Data Parallel Size| Number of GPUs| Batch Size| teraFLOP/s per GPU| FLOPs Utilization| |---|---|---|---|---|---|---|---| |16| 2| 1| 96| 192| 2304| 162| 51.90%| |51| 4| 2| 24| 192| 2304| 160| 51.30%| |101| 4| 4| 12| 192| 2160| 165| 52.88%|,"According to Table 4, the FLM-101B model required 1.01e5 GPU hours (101,000 GPU hours). Table 2 states that the 101 billion parameter model used 192 GPUs. To calculate the wall-clock time, divide the total GPU hours by the number of GPUs: 101,000 GPU hours / 192 GPUs = 526.04 hours. Converting hours to days: 526.04 hours / 24 hours/day = 21.918 days, which rounds to 21.92 days. The document explicitly states that FLM-101B was trained using a growth strategy.",['li2025a'],['https://arxiv.org/pdf/2309.03852']
q034,Unable to answer with confidence based on the provided documents.,is_blank,is_blank,is_blank,"The provided documents do not contain specific information about the GPU utilization percentage for a majority of Facebook's model experimentation workflows. While 'wu2021a' mentions an assumed average utilization of 30-60% over the 3- to 5-year lifetime for servers, this is a general figure for overall server utilization and not specific to GPU utilization in experimentation, nor does it refer to a 'majority' being over 80% capacity.","['chung2025', 'wu2021a']","['https://arxiv.org/pdf/2505.06371', 'https://arxiv.org/pdf/2111.00364']"
q035,1287 MWh,1287,MWh,"GPT-3 is an autoregressive language model with 175B parameters, 10x more than any non-sparse language model at the time [Bro20]. It achieves strong performance on many NLP datasets. A winner of the best paper award at NeurIPS 2020, this 8-month-old paper already has ~700 citations and made mainstream media headlines.13 It is now available for commercial use. One potential energy benefit of a large language model like GPT-3 is that they exhibit few-shot generalization, which means that they don’t need to be retrained for every new task like smaller models [Wan20]. Its estimated carbon emissions due to training are 552 tCO2e and its energy consumption is 1287 MWh.14 Table 4 also lists the neural architecture search for Evolved Transformer, discussed shortly.",The document 'patterson2021' explicitly states that GPT-3's energy consumption due to training is 1287 MWh.,"['li2025b', 'patterson2021', 'morrison2025']","['https://arxiv.org/pdf/2304.03271', 'https://arxiv.org/pdf/2503.05804', 'https://arxiv.org/pdf/2104.10350']"
q036,AI Energy Score,AI Energy Score,is_blank,"These methodologies were then adapted into the AI Energy Score 21, a project aiming to establish a unified approach for comparing the inference efficiency of AI models22.",Quote,"['stone2022', 'han2024']","['https://arxiv.org/pdf/2211.06318', 'https://arxiv.org/pdf/2412.06288']"
q037,Unable to answer with confidence based on the provided documents.,is_blank,microseconds,is_blank,"The provided documents describe that figures in the paper 'xia2024' show execution time breakdowns and kernel-level latency. For example, 'The figure clearly shows that matrix multiplication (W1, W2, and W3) is the largest component of the MoE layer for both BlackMamba and Mixtral. As batch size and sparsity increase, so does computational demand, prolonging matrix multiplication latency.' (id: xia2024) mentions that matrix multiplication is the longest component. Also, 'High-level and layer-level latency breakdown results shown in Fig. 4 and 5 can be obtained by running: python3 mamba_latency.py ./profile_data/blackmamba/latency > mamba_latency_breakdown.txt' (id: xia2024) indicates that such data exists. However, the actual numerical values for execution times of specific kernels in the MoE layer for a dense BlackMamba model with a batch size of 30 on an NVIDIA A40-48 GB GPU are not presented within the text snippets of the retrieved documents. Without access to the figures (Fig. 4 and 5) or the data outputted by the mentioned script, the specific execution time for the longest kernel cannot be determined.",['xia2024'],['https://arxiv.org/pdf/2408.04693']
q038,2 experts,2,experts,"The hyperparameters of JetMoE-8B are selected based on the common practice for the 1B transformer language model. We replace all self-attention and MLP layers in the transformer with MoA and MoE. Then, we set the same number of experts to 8 and top-k to 2 for every layer.","The document states that for JetMoE-8B, the 'top-k' value is set to 2 for every layer. This is also confirmed in Table 1.",['shen2024'],['https://arxiv.org/pdf/2404.07413']
q039,FALSE,0,is_blank,"schwartz2019: ""The computations required for deep learning research have been doubling every few months, resulting in an estimated 300,000x increase from 2012 to 2018 [2].""","The provided document states that the increase in computations from 2012 to 2018 was an estimated 300,000x, not 200,000x. Therefore, the statement is false.","['dodge2022', 'luccioni2025a', 'luccioni2023']","['https://arxiv.org/pdf/2206.05229', 'https://arxiv.org/pdf/2501.16548', 'https://arxiv.org/pdf/2302.08476']"
q040,Unable to answer with confidence based on the provided documents.,is_blank,percent,is_blank,The provided documents do not contain information about the reported drop in global carbon emissions in 2020 during the COVID-19 pandemic.,"['li2025a', 'patterson2021']","['https://arxiv.org/pdf/2309.03852', 'https://arxiv.org/pdf/2104.10350']"
q041,Unable to answer with confidence based on the provided documents.,is_blank,data centers,is_blank,"The provided documents state that in 2023, 100% of the electricity consumed by Amazon's global operations, including all data centers, was matched with renewable energy sources. However, the documents do not specify the exact number of AWS data center *regions* that achieved this. It is a company-wide statement for all data centers, not a regional count.",['amazon2023'],['https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']
q042,69 years,69,years,The field of Artificial Intelligence (AI) was officially born and christened at a 1956 workshop organized by John McCarthy at the Dartmouth Summer Research Project on Artificial Intelligence.,"The field of Artificial Intelligence was officially established in 1956. To find its approximate age in 2025, calculate 2025 - 1956 = 69 years.","['stone2022', 'luccioni2025c', 'luccioni2025b']","['https://arxiv.org/pdf/2211.06318', 'https://arxiv.org/pdf/2504.00797', 'https://arxiv.org/pdf/2506.15572']"
q043,Neural Architecture Search (NAS),Neural Architecture Search,is_blank,"The authors quantified the costs of model development through both a case study of the energy required for them to develop a model published in the previous year, and by estimating the energy required to automate that process using an approach called neural architecture search (NAS) based on figures reported in a recent Google study using NAS to identify an optimized variant of the Transformer architecture. In the case of the latter, they estimated that the NAS approach... could yield 626,155 pounds (284 metric tons) CO₂-equivalent GHG emissions (CO₂e), or about five times the emissions of a car during its lifetime, including fuel. ... Further, the NAS training workload represents a large-scale procedure that is meant to be and is in practice performed much less frequently than the average AI model training workload.",The 'five cars' estimate from the 2019 Strubell et al. study is based on the energy consumption of Neural Architecture Search (NAS). This process is described as a 'large-scale procedure that is meant to be and is in practice performed much less frequently than the average AI model training workload.',['wu2021a'],['https://arxiv.org/pdf/2111.00364']
q044,Unable to answer with confidence based on the provided documents.,is_blank,percent,is_blank,is_blank,"['chung2025', 'samsi2024']","['https://arxiv.org/pdf/2310.03003', 'https://arxiv.org/pdf/2505.06371']"
q045,Unable to answer with confidence based on the provided documents.,is_blank,samples,is_blank,"The provided documents discuss fine-tuning Mixtral and BlackMamba models and their maximum batch sizes on NVIDIA A40 (48GB) GPUs. However, the exact maximum batch size for BlackMamba with a sparse setup on the GSM8K dataset is not explicitly stated. A table-like structure provides values for 'CS' and 'MATH' datasets but not 'GSM8K'.",['xia2024'],['https://arxiv.org/pdf/2408.04693']
q046,Unable to answer with confidence based on the provided documents.,is_blank,GW,"At the end of 2023, Amazon had 270 rooftop solar projects at our facilities around the globe. We brought 50 new on-site solar energy systems online in 2023, for a total capacity of 58 MW. These on-site solar energy systems are estimated to generate 123,000 MWh annually
—enough energy to power over 33,600 European homes—and avoid the equivalent of roughly 47,400 metric tons of CO2e each year compared to nonrenewable electricity sources.The Baldy Mesa Solar and Storage Project in Adelanto, California (developed and operated by AES), represents one of the solar projects that we added to our portfolio that includes storage capacity.","The document states that Amazon added a solar and storage project and is planning to add more storage capacity in 2024 and beyond. However, it only provides the *solar* generation capacity for 2023 (58 MW) and does not specify the total energy *storage* capacity in gigawatts (GW) for that year.",['amazon2023'],['https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']
q047,thousands of transatlantic flights,thousands,flights,"A single model, such as GPT-4o, serving hundreds of millions of daily requests, can emit as much carbon as thousands of transatlantic flights and consume water equivalent to the annual drinking needs of millions of people.",The document states that the annual carbon emissions from GPT-4o inference are comparable to 'thousands of transatlantic flights'.,"['luccioni2023', 'jegham2025']","['https://arxiv.org/pdf/2505.09598', 'https://arxiv.org/pdf/2302.08476']"
q048,Unable to answer with confidence based on the provided documents.,is_blank,percent,is_blank,is_blank,"['luccioni2025a', 'luccioni2025b', 'han2024']","['https://arxiv.org/pdf/2501.16548', 'https://arxiv.org/pdf/2412.06288', 'https://arxiv.org/pdf/2504.00797']"
q049,Unable to answer with confidence based on the provided documents.,is_blank,PUE,is_blank,"The provided documents discuss Power Usage Effectiveness (PUE) values for data centers in general (e.g., 1.58 for 2018, 1.59 for 2020, 1.1 for state-of-the-art facilities, or specific company PUEs like Meta's 1.08 in 2023), but none of them state a global average PUE specifically for 'AI-dedicated' data centers in 2023.","['li2025b', 'ebert2024', 'han2024']","['https://arxiv.org/pdf/2304.03271', 'https://arxiv.org/pdf/2410.06681', 'https://arxiv.org/pdf/2412.06288']"
q050,2 billion parameters,2B,parameters,"JetMoE-8B is based on an efficient Sparsely-gated Mixture-of-Experts (SMoE) architecture, composed of attention and feedforward experts. Both layers are sparsely activated, allowing JetMoE-8B to have 8B parameters while only activating 2B for each input token, reducing inference computation by about 70% compared to Llama2-7B.",Quote,['shen2024'],['https://arxiv.org/pdf/2404.07413']
q051,14 tCO2e,14,tCO2e,"Model | Organization | Energy Consumption (MWh) | GHG Emissions (tCO2e) OLMo 20M²⁶ | Ai2 | 0.8 | 0.3 CodeGen 350M⁶² | Salesforce | 71 | 6 Llama 7B⁶³ | Meta | 356 | 14 BLOOM¹¹ | Big Science | 520 | 30 T5¹⁶ | Google | 85.7 | 47 OLMo 2 13B²⁶ | Ai2 | 157 | 101 Gemma 2B + 9B⁶⁴ | Google | ? | 131 GPT-3¹⁶ | OpenAI | 1,287 | 552 Llama 4 Scout⁶⁵ | Meta | 3,500 | 1,354 Llama 3 70B⁶⁶ | Meta | ? | 1,900 Llama 3.1 405B³⁵ | Meta | ? | 8,930 Max/Min Variance: | | 4,375 | 29,767",Table,"['khan2025', 'rubei2025']","['https://arxiv.org/pdf/2504.06307', 'https://arxiv.org/pdf/2501.05899']"
q052,Unable to answer with confidence based on the provided documents.,is_blank,electric delivery vans,is_blank,"The document states that Amazon's U.S. fleet included 11,800 electric delivery vans from Rivian in 2023, ""up from more than 2,600 in 2022."" This indicates an increase of 9,200 Rivian vans in the U.S. fleet during 2023 (11,800 - 2,600 = 9,200). However, the question asks for the total number of vans ""added in total across 2022 and 2023."" The document does not provide a specific number for vans added during 2022, nor does it provide global figures for the number of vans added in 2022 and 2023. Therefore, the total number of electric delivery vans added across both years cannot be confidently determined.",['amazon2023'],['https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']
q053,FALSE,0,is_blank,"Operational environmental impacts of LLMs are those that arise directly from the development and use of models, and include the GHG emissions arising from energy sources used to power model training and deployment, including servers and data center cooling.","The provided document explicitly states that operational environmental impacts include GHG emissions from energy sources used to power model training and deployment, including servers and data center cooling. This contradicts the statement in the question.","['chung2025', 'khan2025', 'morrison2025']","['https://arxiv.org/pdf/2505.06371', 'https://arxiv.org/pdf/2504.06307', 'https://arxiv.org/pdf/2503.05804']"
q055,Unable to answer with confidence based on the provided documents.,is_blank,Wh,"In contrast, large-scale and reasoning models such as o3, DeepSeek-R1 (DS), and DeepSeek-V3 (DS) exhibit substantially higher footprints.","The document mentions 'o3' as a large-scale reasoning model with substantially higher footprints for long queries, but only provides specific numerical values (water consumption and CO2e) for DeepSeek-R1, not for 'o3' itself. The energy consumption in Wh for 'o3' is not specified.","['chung2025', 'zschache2025']","['https://arxiv.org/pdf/2505.06371', 'https://arxiv.org/pdf/2508.14170 ']"
q056,1956,1956,year,The field of Artificial Intelligence (AI) was officially born and christened at a 1956 workshop organized by John McCarthy at the Dartmouth Summer Research Project on Artificial Intelligence.,Quote,['stone2022'],['https://arxiv.org/pdf/2211.06318']
q057,Unable to answer with confidence based on the provided documents.,is_blank,WUE,is_blank,"The provided documents mention Google's environmental reports for 2024 and general water consumption trends (e.g., a 20% uptick between 2021 and 2022, general scope-1 water efficiency values of 1.2 L/kWh for withdrawal and 1.0 L/kWh for consumption for data center operators including Google). However, none of the documents explicitly state the average Water Use Effectiveness (WUE) specifically for Google's AI-dedicated data centers in 2024.","['luccioni2025a', 'li2025b', 'morrison2025']","['https://arxiv.org/pdf/2304.03271', 'https://arxiv.org/pdf/2501.16548', 'https://arxiv.org/pdf/2503.05804']"
q058,TRUE,1,is_blank,"Even more daunting, approximately 770 million people, or about 1 out of 10 people in the world, do not have access to a stable supply of electricity [International Energy Agency].",The provided text directly states that approximately 770 million people worldwide do not have access to a stable supply of electricity.,"['wu2021b', 'amazon2023', 'han2024']","['https://arxiv.org/pdf/2108.06738', 'https://arxiv.org/pdf/2412.06288', 'https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf']"
q059,Unable to answer with confidence based on the provided documents.,is_blank,joules per token,samsi2024,"The provided documents mention that 'Figure 4 shows energy costs for maximum generation length 512' for LLaMA 65B, and discusses 'energy per second (Watts)' and 'energy per tokens'. However, the specific numerical value for energy consumed per token in joules per token is not explicitly stated in the text. To provide an answer, I would need to analyze Figure 4, which is not provided as text.",['samsi2024'],['https://arxiv.org/pdf/2310.03003']
q060,15%,15,percent,"By converting 32-bit floating-point numerical representation to 16-bit, we can reduce the overall RM2 model size by 15%.",Quote,['wu2021a'],['https://arxiv.org/pdf/2111.00364']
q061,FALSE,0,is_blank,"The reasoning behind the 5-10% reduction estimate is unclear and the underlying calculations are not detailed beyond the explanation that they are based on BCG’s experience in dealing with their clients and using AI to optimize and improve existing processes. The second, Google-commissioned BCG study provides slightly more detail in terms of the kinds of projects AI can be used for, but does not offer specific calculations translating individual project numbers to a global scale. Applying observations made from individual projects to the entire planet’s GHG emissions lacks any scientific grounding—in fact, many of the emissions reductions on a global scale require individual, societal and political shifts.",The document explicitly states that 'The reasoning behind the 5-10% reduction estimate is unclear and the underlying calculations are not detailed' and that 'Applying observations made from individual projects to the entire planet’s GHG emissions lacks any scientific grounding.',['luccioni2025c'],['https://arxiv.org/pdf/2506.15572']
q063,TRUE,1,is_blank,"Large but sparsely activated DNNs can consume <1/10th the energy of large, dense DNNs without sacrificing accuracy despite using as many or even more parameters.","The document explicitly states that 'Large but sparsely activated DNNs can consume <1/10th the energy of large, dense DNNs without sacrificing accuracy'.","['patterson2021', 'wu2021a', 'luccioni2024']","['https://arxiv.org/pdf/2111.00364', 'https://arxiv.org/pdf/2311.16863', 'https://arxiv.org/pdf/2104.10350']"
